MAXXIS;Vansmart MCV3+;summer;215;65;R16
GT RADIAL;MaxMiler Pro;summer;215;65;R16
YOKOHAMA;YokohamaBLUEARTH VAN RY55;summer;215;65;R16
LASSA;TRANSWAY 2;summer;215;65;R16
WESTLAKE;SC328;summer;215;65;R16
SAILUN;IceBlazer WST-3;winter;215;65;R16
TRIANGLE;IcelynX TI501;winter;215;65;R16
HANKOOK;RW09;winter;215;65;R16
WESTLAKE;SU318;summer;215;65;R17
GOODRIDE;SU318;summer;215;65;R17
HANKOOK;W IPike* W409;winter;215;65;R17
MAXXIS;CAMPRO MAC2;summer;215;70;R15
HANKOOK;Vantra LT (RA18);summer;215;70;R15
LASSA;TRANSWAY 2;summer;215;70;R15
HANKOOK;IPike RS2 W429;winter;215;70;R15
HANKOOK;RW09;winter;215;70;R15
WINRUN;R350;summer;215;70;R16
GT RADIAL;MaxMiler Pro;summer;215;70;R16
GOODRIDE;SC328;summer;215;70;R16
LASSA;COMPETUS H/L;summer;215;70;R16
HANKOOK;IPike X W429A;winter;215;70;R16
MAXXIS;Vansmart MCV3+;summer;215;75;R16
GT RADIAL;MaxMiler Pro;summer;215;75;R16
LASSA;TRANSWAY 2;summer;215;75;R16
HANKOOK;RW09;winter;215;75;R16
HANKOOK;Ventus Prime2 (K115);summer;225;40;R18
PIRELLI;Cinturato P7;summer;225;45;R17
LASSA;DRIVEWAYS;summer;225;45;R17
TRIANGLE;IcelynX TI501;winter;225;45;R18
MAXXIS;HP5;summer;225;50;R16
SAILUN;Atrezzo ZSR;summer;225;50;R18
MAXXIS;VS-01 VICTRA ASYMM;summer;225;50;R18
MAXXIS;HP5;summer;225;55;R16
LASSA;DRIVEWAYS;summer;225;55;R16
GITI;GITIPREMIUM H1;summer;225;55;R17
TRIANGLE;IcelynX TI501;winter;225;55;R17
YOKOHAMA;BluEarth V905;winter;225;55;R17
LASSA;COMPETUS H/P 2;summer;225;55;R18
LASSA;COMPETUS H/P 2;summer;225;55;R19
SAILUN;Atrezzo Elite;summer;225;60;R16
MAXXIS;HP5;summer;225;60;R16
LASSA;IMPETUS REVO;summer;225;60;R16
BRIDGESTONE;H/P SPORT;summer;225;60;R17
FALKEN;ZE914A;summer;225;60;R17
FALKEN;Wildpeak H/T01;summer;225;60;R17
LASSA;COMPETUS H/P;summer;225;60;R17
Green Max;Linglong GreenMax 4x4;summer;225;60;R17
DUNLOP;Sport270;summer;225;60;R17
YOKOHAMA;BluEarth E51;summer;225;60;R18
SAILUN;IceBlazer WST-3;winter;225;60;R18
GOODYEAR;EfficientGrip Cargo;summer;225;65;R16
MAXXIS;Vansmart MCV3+;summer;225;65;R16
GT RADIAL;MaxMiler Pro;summer;225;65;R16
LASSA;TRANSWAY 2;summer;225;65;R16
GT RADIAL;Savero SUV;summer;225;65;R17
LASSA;COMPETUS H/P 2;summer;225;65;R17
